"Plot" "Coupe" "ACD" "FACE" "LoggingMethod" "LoggingYear" "Forest" "YearsSinceLogging" "MeasureTime" "Dataset"
"1" "INDFORSUS_1981_1_old" "1981" 76.6048082650446 "ProjectScenario" "Tractor" 1981 "Logged" 15 1996 "INDFORSUS"
"5" "INDFORSUS_1981_5_old" "1981" 140.739860046596 "ProjectScenario" "Tractor" 1981 "Logged" 15 1996 "INDFORSUS"
"8" "INDFORSUS_1982_3_old" "1982" 60.918901445145 "ProjectScenario" "High_lead" 1982 "Logged" 14 1996 "INDFORSUS"
"9" "INDFORSUS_1982_4_old" "1982" 94.3695325916889 "ProjectScenario" "High_lead" 1982 "Logged" 14 1996 "INDFORSUS"
"11" "INDFORSUS_1983_1_old" "1983" 92.8840340685397 "ProjectScenario" "Tractor" 1983 "Logged" 13 1996 "INDFORSUS"
"13" "INDFORSUS_1983_3_old" "1983" 99.9566127157458 "ProjectScenario" "Tractor" 1983 "Logged" 13 1996 "INDFORSUS"
"14" "INDFORSUS_1983_4_old" "1983" 140.461092178595 "ProjectScenario" "Tractor" 1983 "Logged" 13 1996 "INDFORSUS"
"17" "INDFORSUS_1988_2_old" "1988" 44.8825612469577 "ProjectScenario" "Tractor" 1988 "Logged" 8 1996 "INDFORSUS"
"19" "INDFORSUS_1988_4_old" "1988" 104.758148662912 "Baseline" "Tractor" 1988 "Logged" 8 1996 "INDFORSUS"
"20" "INDFORSUS_1988_5_old" "1988" 88.2939230121097 "ProjectScenario" "Tractor" 1988 "Logged" 8 1996 "INDFORSUS"
"21" "INDFORSUS_1989_1_old" "1989" 72.088644788568 "Baseline" "Tractor" 1989 "Logged" 7 1996 "INDFORSUS"
"25" "INDFORSUS_1989_5_old" "1989" 54.3479515757348 "Baseline" "High_lead" 1989 "Logged" 7 1996 "INDFORSUS"
"31" "INDFORSUS_ConservationArea_1_old" "ConservationArea" 225.951500721621 NA "UnLogged" NA "UnLogged" 0 1996 "INDFORSUS"
"33" "INDFORSUS_ConservationArea_3_old" "ConservationArea" 196.650935526277 NA "UnLogged" NA "UnLogged" 0 1996 "INDFORSUS"
"34" "INDFORSUS_ConservationArea_4_old" "ConservationArea" 284.013561637816 NA "UnLogged" NA "UnLogged" 0 1996 "INDFORSUS"
"35" "INDFORSUS_ConservationArea_5_old" "ConservationArea" 225.705646260035 NA "UnLogged" NA "UnLogged" 0 1996 "INDFORSUS"
"36" "INDFORSUS_ConventionalLogging_1_old" "1993" 102.733738120426 "Baseline" "Tractor" 1993 "Logged" 3 1996 "INDFORSUS"
"40" "INDFORSUS_ConventionalLogging_5_old" "1993" 205.954018906249 "Baseline" "Tractor" 1993 "Logged" 3 1996 "INDFORSUS"
"48" "INDFORSUS_WaterCatchment_1_old" "WaterCatchment" 110.989298083059 NA "UnLogged" NA "UnLogged" 0 1996 "INDFORSUS"
"49" "INDFORSUS_WaterCatchment_2_old" "WaterCatchment" 176.065927253572 NA "UnLogged" NA "UnLogged" 0 1996 "INDFORSUS"
